rank,competitor_name,stage,our_score_normalized,our_score,official_mean,official_rank,future_advancements,comment_count,comment_count_inc_likes,advanced,pred_advance
1,"Lu, Eric",stage3,0.9585712556003456,0.9777880838061982,23.29,1,1,223,4572.0,True,True
2,"Wang, Zitong",stage3,0.9363302262832748,0.993927511657482,22.8,2,1,158,2358.0,True,True
3,"Lee, Hyo",stage3,0.9250530050590521,0.9508603483606558,20.79,8,0,235,4871.0,False,True
4,"Chen, Kevin",stage3,0.9235609995871893,0.9373418674698795,22.36,3,1,158,3314.0,True,True
5,"Lyu, Tianyao",stage3,0.9227682347895545,0.9643819619116062,21.43,5,1,350,5526.0,True,True
6,"Li, Tianyou",stage3,0.8938150100302346,0.9815454545454545,21.98,4,1,118,1922.0,True,True
7,"Prokopowicz, Yehuda",stage3,0.8738887915612832,0.9613004719454641,19.49,19,0,109,1904.0,False,True
8,"Shindo, Miyu",stage3,0.8418882662841617,0.9690061689669595,21.06,7,1,276,9559.0,True,True
9,"Yang, William",stage3,0.8382279204656121,0.9654023746701846,20.69,11,1,84,1513.0,True,True
10,"Khrikuli, David",stage3,0.8321263583163712,0.9169996757037229,20.77,9,1,359,7693.0,True,True
11,"Ong, Vincent",stage3,0.8261429014381091,0.9617945151033387,20.55,13,1,314,10062.0,True,True
12,"Alexewicz, Piotr",stage3,0.8072001454931815,0.8737833969465649,20.74,10,1,140,2087.0,True,False
13,"Lee, Hyuk",stage3,0.7767551545617758,0.9622608661966374,20.03,14,0,357,12904.0,False,False
14,"Gao, Yang (Jack)",stage3,0.7390775233571181,0.950354609929078,19.88,15,0,65,987.0,False,False
15,"Ushida, Tomoharu",stage3,0.7185675234708433,0.9479490230460922,20.58,12,0,280,15966.0,False,False
16,"Pawlak, Piotr",stage3,0.7125877312781147,0.8831618124227442,19.31,20,0,439,12925.0,False,False
17,"Kuwahara, Shiori",stage3,0.638285375876924,0.9868916064028601,21.36,6,1,479,24609.0,True,False
18,"Wu, Yifan",stage3,0.4835718053864825,0.9496508379888268,19.8,17,0,24,358.0,False,False
19,"Guo, Eric",stage3,0.42906141551360844,0.8828358208955224,19.54,18,0,43,329.0,False,False
20,"Li, Xiaoxuan",stage3,0.29842846275953877,0.9293785310734464,19.85,16,0,31,172.0,False,False
